$c_start 台湾$c_end
中视,rtmp://59.124.75.130/sat/tv091
华视,rtmp://59.124.75.130/sat/tv112
台视,rtmp://59.124.75.130/sat/tv071
民视,rtmp://59.124.75.130/sat/tv052
11,rtmp://59.124.75.130/sat/tv050
12,rtmp://59.124.75.130/sat/tv051
13,rtmp://59.124.75.130/sat/tv052
14,rtmp://59.124.75.130/sat/tv053
$c_start 三立$c_end
三立台灣1,http://198.16.106.62:8278/streams/d/sanlitaiwan/playlist.m3u8
三立臺灣2,mitv://fccsovh.pvbox.live:18912/5c2dd74a000cbd46698addb74d61afbb.ts
三立臺灣3,mitv://fccsovh.pvbox.live:18912/5c2dd74a000cbd46698addb74d61afbb.ts
三立臺灣4,mitv://fccsovh.pvbox.live:18912/5b1409f100088a843e552539cfdf3021.ts
三立臺灣5,mitv://fccseuro.pvbox.live:18912/5c2dd74a000cbd46698addb74d61afbb.ts
三立台湾P5P,p5p://45.92.126.18:9906/60435a1000013bcc070a9c3b0ad870c7.ts
三立台湾6,P2p://fccseuro.pvbox.live:18912/5b1409f100088a84c40f89d735e8395f.ts
